Unnamed: 0,ImagePath,ValidationValue,camera
,2017_PSU1_01020206,0,PSU1
,2017_PSU1_01250701,3,PSU1
,2017_PSU1_01010024,-1,PSU1
,2017_PSU1_01270705,4,PSU1
,2017_PSU1_01240699,4,PSU1
,2017_PSU1_02070717,4,PSU1
,2017_PSU1_01290708,0,PSU1
,2017_PSU1_02030713,3,PSU1
,2017_PSU1_01210694,3,PSU1
,2017_PSU1_01260703,0,PSU1
,2017_PSU1_02070716,3,PSU1
,2017_PSU1_01220696,3,PSU1
,2017_PSU1_02030712,4,PSU1
,2017_PSU1_02040714,3,PSU1
,2017_PSU1_01040677,4,PSU1
,2017_PSU1_01250700,3,PSU1
,2017_PSU1_01160688,3,PSU1
,2017_PSU1_02050715,3,PSU1
,2017_PSU1_01270706,3,PSU1
,2017_PSU1_01300709,0,PSU1
,2017_PSU1_01310001,-1,PSU1
,2017_PSU1_01150687,-1,PSU1
,2017_PSU1_01250702,0,PSU1
,2017_PSU1_01060568,3,PSU1
,2017_PSU1_01270707,3,PSU1
,2017_PSU1_01180692,3,PSU1
,2017_PSU1_07050506,0,PSU1
,2017_PSU1_04270358,1,PSU1
,2017_PSU1_07020214,2,PSU1
,2017_PSU1_07040409,0,PSU1
,2017_PSU1_07040410,1,PSU1
,2017_PSU1_07020213,2,PSU1
,2017_PSU1_07160576,2,PSU1
,2017_PSU1_05060187,1,PSU1
,2017_PSU1_07020212,1,PSU1
,2017_PSU1_07040407,2,PSU1
,2017_PSU1_06150110,3,PSU1
,2017_PSU1_04270359,1,PSU1
,2017_PSU1_07040408,1,PSU1
,2017_PSU1_07050505,1,PSU1
