ImagePath,ValidationValue,camera
2017_NEN1_06120123,0,NEN1
2017_NEN1_06130210,0,NEN1
2017_NEN1_07010194,0,NEN1
2017_NEN1_04080307,4,NEN1
2017_NEN1_06220273,0,NEN1
2017_NEN1_05290535,0,NEN1
2017_NEN1_06180819,0,NEN1
2017_NEN1_06230379,0,NEN1
2017_NEN1_05290496,0,NEN1
2017_NEN1_06010920,0,NEN1
2017_NEN1_05210592,4,NEN1
2017_NEN1_06130183,0,NEN1
2017_NEN1_06250590,0,NEN1
2017_NEN1_05240918,0,NEN1
2017_NEN1_05040867,3,NEN1
2017_NEN1_06080643,0,NEN1
2017_NEN1_06230363,0,NEN1
2017_NEN1_05230843,0,NEN1
2017_NEN1_06140336,0,NEN1
2017_NEN1_04240904,4,NEN1
2017_NEN1_07060687,3,NEN1
2017_NEN1_06210126,3,NEN1
2017_NEN1_05280423,0,NEN1
2017_NEN1_05170209,4,NEN1
2017_NEN1_06010900,3,NEN1
2017_NEN1_06160592,0,NEN1
2017_NEN1_05290512,0,NEN1
2017_NEN1_04150018,4,NEN1
2017_NEN1_04010605,4,NEN1
2017_NEN1_05270261,3,NEN1
2017_NEN1_05290524,0,NEN1
2017_NEN1_06160563,0,NEN1
2017_NEN1_05100483,4,NEN1
2017_NEN1_05220702,4,NEN1
2017_NEN1_05230832,4,NEN1
2017_NEN1_04210596,4,NEN1
2017_NEN1_03230731,4,NEN1
2017_NEN1_05270297,3,NEN1
2017_NEN1_07010205,4,NEN1
2017_NEN1_03020411,0,NEN1
2017_NEN1_06180816,0,NEN1
2017_NEN1_05220716,3,NEN1
2017_NEN1_05230820,0,NEN1
2017_NEN1_03110283,4,NEN1
2017_NEN1_07030362,3,NEN1
2017_NEN1_05290585,0,NEN1
2017_NEN1_03140600,3,NEN1
2017_NEN1_04210604,4,NEN1
2017_NEN1_03190288,0,NEN1
2017_NEN1_05290501,0,NEN1
2017_NEN1_07060683,4,NEN1
2017_NEN1_06070569,0,NEN1
2017_NEN1_04190413,4,NEN1
2017_NEN1_06140306,0,NEN1
2017_NEN1_06120064,0,NEN1
2017_NEN1_05290603,0,NEN1
2017_NEN1_04120738,0,NEN1
2017_NEN1_03080003,4,NEN1
2017_NEN1_03200419,2,NEN1
2017_NEN1_06170687,0,NEN1
2017_NEN1_05280417,0,NEN1
2017_NEN1_06010903,3,NEN1
2017_NEN1_05260147,0,NEN1
2017_NEN1_06170684,0,NEN1
2017_NEN1_04050024,2,NEN1
2017_NEN1_05140890,4,NEN1
2017_NEN1_04070233,4,NEN1
2017_NEN1_05300678,0,NEN1
2017_NEN1_07030384,1,NEN1
2017_NEN1_06060465,0,NEN1
2017_NEN1_05300685,0,NEN1
2017_NEN1_05260156,3,NEN1
2017_NEN1_05250072,0,NEN1
2017_NEN1_06060456,0,NEN1
2017_NEN1_05250057,0,NEN1
2017_NEN1_07150619,4,NEN1
2017_NEN1_06210118,0,NEN1
