Unnamed: 0,ImagePath,ValidationValue,camera
,2017_GBU1_02170827,0,GBU1
,2017_GBU1_02070819,3,GBU1
,2017_GBU1_05140182,3,GBU1
,2017_GBU1_04220815,3,GBU1
,2017_GBU1_03030314,0,GBU1
,2017_GBU1_02070813,3,GBU1
,2017_GBU1_02220307,0,GBU1
,2017_GBU1_02210222,0,GBU1
,2017_GBU1_02070818,3,GBU1
,2017_GBU1_03020183,3,GBU1
,2017_GBU1_02010102,3,GBU1
,2017_GBU1_04100645,3,GBU1
,2017_GBU1_02200092,0,GBU1
,2017_GBU1_04140036,3,GBU1
,2017_GBU1_05020859,4,GBU1
,2017_GBU1_04170299,0,GBU1
,2017_GBU1_03030313,0,GBU1
,2017_GBU1_02200125,0,GBU1
,2017_GBU1_03130540,3,GBU1
,2017_GBU1_02130447,3,GBU1
,2017_GBU1_04170300,3,GBU1
,2017_GBU1_02270799,3,GBU1
,2017_GBU1_02210226,3,GBU1
,2017_GBU1_02220309,3,GBU1
,2017_GBU1_02240510,3,GBU1
