train_loss,epoch,step,val_loss
76854.5390625,0,1,
61316.8125,0,3,
50024.69140625,0,5,
44069.5703125,0,7,
35292.375,0,9,
36718.8125,0,11,
30109.052734375,0,13,
28340.828125,0,15,
27040.890625,0,17,
25644.31640625,0,19,
30489.74609375,0,21,
23354.22265625,0,23,
22413.75390625,0,25,
27762.8125,0,27,
21602.109375,0,29,
26616.099609375,0,31,
22462.16015625,0,33,
22505.908203125,0,35,
22986.267578125,0,37,
18518.8671875,0,39,
23978.50390625,0,41,
19766.96875,0,43,
27449.5859375,0,45,
26149.51171875,0,47,
17270.95703125,0,49,
19133.8984375,0,51,
22548.44140625,0,53,
22539.0625,0,55,
20225.89453125,0,57,
15750.5966796875,0,59,
21963.30859375,0,61,
23708.607421875,0,63,
16106.0146484375,0,65,
22717.236328125,0,67,
18967.423828125,0,69,
19345.02734375,0,71,
19359.087890625,0,73,
20582.556640625,0,75,
17878.908203125,0,77,
18272.8046875,0,79,
20459.474609375,0,81,
18665.66796875,0,83,
16452.5234375,0,85,
19690.423828125,0,87,
18186.80078125,0,89,
15459.78125,0,91,
25108.99609375,0,93,
17866.333984375,0,95,
22753.05078125,0,97,
17082.98828125,0,99,
23126.169921875,0,101,
19886.576171875,0,103,
19148.224609375,0,105,
17137.9140625,0,107,
16834.66015625,0,109,
20890.8359375,0,111,
20012.544921875,0,113,
19080.5,0,115,
15977.482421875,0,117,
18634.44921875,0,119,
21623.3046875,0,121,
17987.640625,0,123,
21490.8203125,0,125,
14714.7958984375,0,127,
15440.78515625,0,129,
22023.21484375,0,131,
17065.0234375,0,133,
20084.220703125,0,135,
15575.056640625,0,137,
17508.083984375,0,139,
14714.71484375,0,141,
18339.15234375,0,143,
18091.65234375,0,145,
26078.927734375,0,147,
16955.294921875,0,149,
16591.70703125,0,151,
16296.1015625,0,153,
14647.115234375,0,155,
16413.51171875,0,157,
15791.5625,0,159,
20304.97265625,0,161,
13966.1611328125,0,163,
23588.16796875,0,165,
14118.263671875,0,167,
24695.689453125,0,169,
27589.43359375,0,171,
19182.31640625,0,173,
18063.8515625,0,175,
17367.5078125,0,177,
19846.71875,0,179,
19421.0390625,0,181,
16132.76171875,0,183,
18849.18359375,0,185,
19924.599609375,0,187,
17531.7890625,0,189,
22488.720703125,0,191,
17619.0703125,0,193,
18119.052734375,0,195,
16292.11328125,0,197,
19187.41796875,0,199,
18152.54296875,0,201,
15162.80859375,0,203,
24120.583984375,0,205,
20728.58984375,0,207,
17100.677734375,0,209,
17802.15625,0,211,
16636.6953125,0,213,
14651.751953125,0,215,
15748.9970703125,0,217,
24256.86328125,0,219,
17530.50390625,0,221,
18770.37109375,0,223,
18446.44921875,0,225,
15857.30859375,0,227,
20301.166015625,0,229,
13595.314453125,0,231,
24430.291015625,0,233,
15681.4365234375,0,235,
25123.0546875,0,237,
17203.48828125,0,239,
16520.5546875,0,241,
16302.5234375,0,243,
14298.92578125,0,245,
17031.41015625,0,247,
15679.4990234375,0,249,
12425.794921875,0,251,
16093.5078125,0,253,
16158.578125,0,255,
12152.734375,0,257,
15256.1728515625,0,259,
18582.779296875,0,261,
16801.32421875,0,263,
16870.513671875,0,265,
12739.501953125,0,267,
14856.34765625,0,269,
18261.0234375,0,271,
13790.61328125,0,273,
14281.583984375,0,275,
17482.35546875,0,277,
18087.18359375,0,279,
14688.0439453125,0,281,
17373.63671875,0,283,
19384.1875,0,285,
18228.859375,0,287,
16368.1484375,0,289,
17890.703125,0,291,
19588.3828125,0,293,
15449.3271484375,0,295,
14491.578125,0,297,
17550.23828125,0,299,
19264.23046875,0,301,
14838.8818359375,0,303,
13165.28515625,0,305,
14190.9111328125,0,307,
14426.552734375,0,309,
15549.0810546875,0,311,
14027.9892578125,0,313,
11916.7451171875,0,315,
15718.6416015625,0,317,
13135.12109375,0,319,
14299.4453125,0,321,
17048.1640625,0,323,
14697.826171875,0,325,
16954.8828125,0,327,
14054.173828125,0,329,
12711.837890625,0,331,
20253.966796875,0,333,
13861.2744140625,0,335,
14734.87890625,0,337,
13354.552734375,0,339,
12377.5234375,0,341,
11484.43359375,0,343,
12046.7275390625,0,345,
13298.7353515625,0,347,
12897.2763671875,0,349,
11349.220703125,0,351,
11942.3623046875,0,353,
12784.09765625,0,355,
12611.5830078125,0,357,
10808.3388671875,0,359,
10617.25,0,361,
13915.73046875,0,363,
12666.658203125,0,365,
12149.5625,0,367,
11249.271484375,0,369,
11908.17578125,0,371,
10442.296875,0,373,
11995.923828125,0,375,
11443.109375,0,377,
13621.48828125,0,379,
9230.794921875,0,381,
10008.65625,0,383,
11177.98828125,0,385,
10574.560546875,0,387,
10214.84375,0,389,
8633.611328125,0,391,
10898.6943359375,0,393,
14232.556640625,0,395,
10034.1845703125,0,397,
10876.224609375,0,399,
15556.1513671875,0,401,
10007.265625,0,403,
9666.294921875,0,405,
12410.3203125,0,407,
9939.171875,0,409,
9795.5830078125,0,411,
14801.064453125,0,413,
10139.095703125,0,415,
10422.9150390625,0,417,
7817.69287109375,0,419,
11057.9541015625,0,421,
10481.166015625,0,423,
9938.8271484375,0,425,
9780.4990234375,0,427,
9715.916015625,0,429,
11357.99609375,0,431,
9838.98828125,0,433,
9417.5478515625,0,435,
9188.0732421875,0,437,
15192.357421875,0,439,
10613.490234375,0,441,
7819.5146484375,0,443,
8931.869140625,0,445,
9410.177734375,0,447,
10882.912109375,0,449,
10480.75,0,451,
10829.873046875,0,453,
9058.2392578125,0,455,
9104.041015625,0,457,
7699.93701171875,0,459,
8999.52734375,0,461,
8170.376953125,0,463,
8179.74609375,0,465,
8047.44287109375,0,467,
8667.109375,0,469,
13755.74609375,0,471,
8722.2451171875,0,473,
9121.701171875,0,475,
9723.8828125,0,477,
10708.953125,0,479,
10016.533203125,0,481,
9005.248046875,0,483,
13444.4033203125,0,485,
9039.0322265625,0,487,
9350.6650390625,0,489,
11937.17578125,0,491,
11742.599609375,0,493,
8788.0791015625,0,495,
9707.08203125,0,497,
14367.140625,0,499,
8831.0673828125,0,501,
9994.6171875,0,503,
10942.39453125,0,505,
9311.900390625,0,507,
10031.98046875,0,509,
8845.1708984375,0,511,
7945.0234375,0,513,
10220.849609375,0,515,
10981.1435546875,0,517,
7989.66552734375,0,519,
10838.0048828125,0,521,
10002.7236328125,0,523,
8588.0390625,0,525,
7977.6796875,0,527,
8991.078125,0,529,
8318.5546875,0,531,
8940.97265625,0,533,
8040.43603515625,0,535,
8410.1650390625,0,537,
19041.76171875,0,539,
8095.3564453125,0,541,
7774.9287109375,0,543,
8115.1123046875,0,545,
7617.365234375,0,547,
9672.474609375,0,549,
7448.3828125,0,551,
9495.5673828125,0,553,
8185.69384765625,0,555,
7474.599609375,0,557,
8173.4091796875,0,559,
9721.08203125,0,561,
8486.255859375,0,563,
8231.05078125,0,565,
8651.58984375,0,567,
9206.5947265625,0,569,
9177.7265625,0,571,
8621.1630859375,0,573,
8965.4296875,0,575,
10265.9453125,0,577,
10103.513671875,0,579,
8213.208984375,0,581,
9188.3046875,0,583,
8781.646484375,0,585,
9295.29296875,0,587,
7164.794921875,0,589,
8331.3701171875,0,591,
8203.92578125,0,593,
8021.34423828125,0,595,
9647.5322265625,0,597,
7332.9501953125,0,599,
7915.50830078125,0,601,
9745.84375,0,603,
9679.2919921875,0,605,
11628.7578125,0,607,
9370.814453125,0,609,
9896.404296875,0,611,
9166.626953125,0,613,
9321.8134765625,0,615,
8294.7158203125,0,617,
8594.1240234375,0,619,
9403.6298828125,0,621,
7721.197265625,0,623,
9965.5966796875,0,625,
8829.59375,0,627,
7889.46875,0,629,
6413.23046875,0,631,
8099.744140625,0,633,
7460.4609375,0,635,
9034.826171875,0,637,
11024.759765625,0,639,
7603.8779296875,0,641,
8636.64453125,0,643,
7284.95556640625,0,645,
9740.3740234375,0,647,
8795.1083984375,0,649,
7858.80859375,0,651,
10077.4130859375,0,653,
8102.47021484375,0,655,
7693.40185546875,0,657,
8334.66015625,0,659,
7863.8447265625,0,661,
8029.79248046875,0,663,
10284.005859375,0,665,
8857.2880859375,0,667,
9191.1240234375,0,669,
9674.61328125,0,671,
9957.908203125,0,673,
9378.900390625,0,675,
8646.72265625,0,677,
10448.6611328125,0,679,
8426.287109375,0,681,
9152.72265625,0,683,
10216.2890625,0,685,
9780.24609375,0,687,
10755.513671875,0,689,
8672.001953125,0,691,
8998.9189453125,0,693,
14967.791015625,0,695,
8717.9580078125,0,697,
9118.533203125,0,699,
8353.783203125,0,701,
8071.3583984375,0,703,
8641.91796875,0,705,
7760.2158203125,0,707,
8126.3154296875,0,709,
10252.923828125,0,711,
10158.92578125,0,713,
13561.65625,0,715,
9576.3505859375,0,717,
8229.765625,0,719,
8889.14453125,0,721,
8955.916015625,0,723,
8810.74609375,0,725,
12034.638671875,0,727,
9335.091796875,0,729,
11063.509765625,0,731,
7998.7373046875,0,733,
7240.15234375,0,735,
7839.2080078125,0,737,
9030.5078125,0,739,
9046.9072265625,0,741,
10528.533203125,0,743,
8393.005859375,0,745,
8439.939453125,0,747,
10325.876953125,0,749,
7225.1953125,0,751,
9614.68359375,0,753,
7779.0078125,0,755,
7685.1591796875,0,757,
7894.11962890625,0,759,
8641.54296875,0,761,
9941.505859375,0,763,
8129.55224609375,0,765,
9457.919921875,0,767,
7438.51904296875,0,769,
7677.7109375,0,771,
9311.8134765625,0,773,
10795.3095703125,0,775,
7750.80615234375,0,777,
7905.0908203125,0,779,
7406.6357421875,0,781,
10006.453125,0,783,
8748.5390625,0,785,
9797.185546875,0,787,
7795.0888671875,0,789,
9061.421875,0,791,
9566.6201171875,0,793,
8351.166015625,0,795,
7737.041015625,0,797,
9993.55078125,0,799,
9677.9892578125,0,801,
7775.71875,0,803,
8040.802734375,0,805,
14532.60546875,0,807,
7911.3828125,0,809,
7567.65576171875,0,811,
9945.4189453125,0,813,
7427.962890625,0,815,
8716.015625,0,817,
6785.8134765625,0,819,
7605.9052734375,0,821,
10453.330078125,0,823,
6775.9951171875,0,825,
7626.52392578125,0,827,
6855.67626953125,0,829,
14550.4931640625,0,831,
6724.41943359375,0,833,
12328.556640625,0,835,
9834.375,0,837,
7757.76904296875,0,839,
8142.1552734375,0,841,
9380.154296875,0,843,
7286.228515625,0,845,
6583.0576171875,0,847,
9741.2021484375,0,849,
5947.6689453125,0,851,
7459.140625,0,853,
7265.044921875,0,855,
7581.9560546875,0,857,
7971.91015625,0,859,
6341.9443359375,0,861,
7985.00146484375,0,863,
6982.09765625,0,865,
7090.875,0,867,
7333.126953125,0,869,
12378.169921875,0,871,
9177.7001953125,0,873,
7846.6015625,0,875,
9773.71875,0,877,
9561.958984375,0,879,
7837.4580078125,0,881,
